ROMANIA                  |1606316.1707
IRAQ                     |1475930.4006
INDIA                    |1453968.6100
MOZAMBIQUE               |1429036.7641
ALGERIA                  |1357406.6757
EGYPT                    |1237335.5724
MOROCCO                  |1209983.9364
INDONESIA                |1128312.6304
VIETNAM                  |1044662.7236
RUSSIA                   |966977.9456
KENYA                    |872596.1803
SAUDI ARABIA             |853317.5222
JORDAN                   |841443.9404
ETHIOPIA                 |825234.9858
UNITED STATES            |708695.0326
FRANCE                   |693572.5696
CHINA                    |656850.6907
UNITED KINGDOM           |607946.2338
JAPAN                    |605678.9624
ARGENTINA                |604727.8769
CANADA                   |449127.5753
IRAN                     |436800.2537
BRAZIL                   |341929.4441
GERMANY                  |190647.5548
PERU                     |143205.3311
