24960|245018.0968|1995-01-28|0
23270|234486.9328|1995-03-14|0
39878|231804.6747|1995-03-06|0
18432|197118.7480|1995-03-13|0
18688|182178.3868|1995-03-06|0
28773|179200.5929|1995-02-11|0
450|173955.4775|1995-03-05|0
44353|172336.4809|1995-02-04|0
7462|170114.8066|1995-02-21|0
28741|165761.6456|1995-03-01|0
18820|160813.2394|1995-02-12|0
46755|160178.3418|1995-02-07|0
44612|155536.7061|1995-03-14|0
44418|155093.4924|1995-02-01|0
40962|153846.7906|1995-02-21|0
4642|148086.1806|1995-02-27|0
7840|134256.5232|1995-01-09|0
43814|130173.4516|1995-01-10|0
21057|128582.5884|1995-02-04|0
29056|128272.5612|1994-12-13|0
3488|128253.3401|1995-01-08|0
1830|122484.0472|1995-02-23|0
21606|119521.8486|1995-01-23|0
34978|118276.4935|1995-02-05|0
21639|112419.7025|1995-02-03|0
21475|111162.7745|1995-02-21|0
24484|105371.9459|1995-01-12|0
930|103486.0312|1994-12-17|0
1092|97693.4568|1995-03-04|0
14434|97553.0712|1995-02-16|0
47650|96708.8784|1995-02-06|0
34727|95057.8828|1995-03-14|0
15462|90682.5820|1995-02-27|0
36352|89575.2840|1995-03-10|0
19300|88947.7540|1994-12-17|0
37570|87132.4244|1995-03-10|0
41765|86144.6740|1994-12-10|0
32128|85367.5064|1995-01-22|0
34433|83186.1056|1995-01-20|0
16322|81691.0176|1994-12-20|0
31847|75281.5776|1994-12-19|0
6564|70319.7536|1995-01-22|0
37991|69376.3681|1995-02-22|0
14470|69186.7501|1995-01-25|0
19780|68868.1856|1995-02-05|0
43110|68858.4830|1995-02-07|0
46341|66221.7545|1994-12-18|0
7845|65331.7930|1994-12-14|0
14022|64840.2475|1995-02-14|0
24455|61482.4320|1994-12-07|0
6562|59681.8809|1994-12-21|0
1474|59075.3940|1995-01-09|0
24388|55890.1536|1995-01-27|0
9248|55696.4976|1994-12-24|0
15301|55125.9800|1994-12-27|0
32578|54144.5852|1995-02-06|0
35872|52539.3402|1994-12-19|0
10722|51123.8398|1995-01-20|0
44576|49955.1174|1994-12-26|0
2883|48798.7740|1995-01-23|0
1445|48464.2584|1995-01-10|0
16642|45797.4539|1995-03-03|0
6211|44619.3150|1994-11-24|0
20161|43812.7864|1995-02-22|0
40039|43222.3680|1994-12-14|0
23556|43131.3916|1995-01-10|0
39361|41476.8600|1994-12-14|0
37284|41269.3000|1995-03-14|0
3399|39529.4515|1995-02-28|0
45829|37868.7150|1995-03-13|0
22532|37762.9593|1995-02-09|0
6241|34284.2436|1994-12-30|0
47203|33893.9777|1994-12-19|0
11367|31466.8196|1994-12-17|0
37184|28872.1433|1995-03-12|0
38947|28230.0800|1994-11-30|0
41895|26176.5280|1995-01-11|0
42883|25877.4369|1995-01-27|0
41185|25740.8928|1994-12-07|0
25441|25271.7750|1995-01-10|0
6403|24020.7279|1995-02-12|0
37700|23260.1040|1994-12-09|0
29824|22942.5513|1994-12-30|0
36934|16735.3558|1994-12-23|0
28037|16680.0447|1994-12-13|0
35264|13708.6488|1995-03-14|0
20710|13635.0000|1994-11-30|0
31943|13622.9760|1995-03-14|0
18370|12890.3346|1995-01-14|0
2818|10703.8176|1994-12-12|0
24934|9959.4852|1995-01-31|0
11073|6670.5645|1994-12-02|0
5985|6219.7856|1995-01-12|0
4423|3187.0029|1995-02-17|0
24096|2015.1152|1995-03-01|0
